,_url,birth_year,height,avg_pos,num_races
615,frederik-wandahl,2001,178.0,85.15172413793104,290
617,arnold-jeannesson,1986,182.0,49.84126984126984,567
618,jonathan-breyne,1991,186.0,55.85552407932011,353
619,jose-enrique-gutierrez-cataluna,1974,189.0,56.15511551155115,303
620,nicola-boem,1989,187.0,59.1044776119403,134
621,andre-cardoso,1984,168.0,82.4054054054054,37
622,javier-ramirez-abeja,1978,172.0,55.84592145015106,331
623,lars-petter-nordhaug,1984,176.0,44.512027491408936,582
624,kristoffer-skjerping,1993,182.0,60.691489361702125,564
625,kenny-de-ketele,1985,178.0,95.13589743589743,390
626,emmanuel-morin,1995,178.0,52.69444444444444,36
627,rick-zabel,1993,186.0,96.6141975308642,324
629,enrique-sanz,1989,175.0,88.28767123287672,73
630,aime-de-gendt,1994,182.0,77.40287769784173,139
631,vitaliy-buts,1986,176.0,108.20261437908496,153
632,davide-malacarne,1987,171.0,80.1195652173913,92
633,andrea-di-renzo,1995,179.0,84.23626373626374,546
634,jonas-koch,1993,187.0,107.37373737373736,99
635,dan-martin,1986,175.0,74.6025,400
637,piet-allegaert,1995,181.0,93.25438596491227,114
638,marco-frapporti,1985,179.0,89.62025316455696,79
639,gabriele-colombo,1972,180.0,80.89189189189189,74
640,norman-vahtra,1996,192.0,80.76294277929155,367
641,marcus-ljungqvist,1974,189.0,95.27472527472528,91
643,jaime-vilamajo,1959,181.0,91.1231884057971,138
644,christophe-mengin,1968,173.0,100.74509803921568,51
648,julien-belgy,1983,175.0,55.184065934065934,364
649,filip-meirhaeghe,1971,175.0,63.0,106
650,valentin-baillifard,1993,169.0,54.31958762886598,194
651,ignatas-konovalovas,1985,190.0,67.53488372093024,43
653,tom-leezer,1985,185.0,36.455414012738856,314
655,candido-barbosa,1974,173.0,36.92805755395683,139
656,igor-astarloa-ascasibar,1976,176.0,58.3235294117647,68
657,sebastien-reichenbach,1989,178.0,57.13207547169812,53
658,juan-javier-estrada-ruiz,1981,180.0,55.62,100
659,niels-van-der-steen,1972,185.0,51.40845070422535,71
660,laurent-dufaux,1969,169.0,62.29090909090909,55
661,mikel-nieve,1984,173.0,58.5,2
663,jonathan-castroviejo,1987,171.0,70.52380952380952,21
665,jonas-ljungblad,1979,177.0,49.09219858156028,141
666,jeremie-galland,1983,174.0,49.333333333333336,21
667,david-de-la-cruz,1989,182.0,64.70588235294117,17
668,zoran-klemencic,1976,182.0,49.188081936685286,537
671,fabio-felline,1990,175.0,80.74214876033058,605
672,michael-rich,1969,187.0,40.79674796747968,369
674,soren-lilholt,1965,182.0,42.07538802660754,451
675,jonathan-fumeaux,1988,178.0,61.71848739495798,238
677,giovanni-lombardi,1969,178.0,79.45806451612903,155
678,maxime-bouet,1986,183.0,83.1219512195122,41
679,christian-kux,1985,182.0,73.90820584144646,719
680,matthe-pronk,1974,175.0,50.103321033210335,271
681,vincent-jerome,1984,174.0,69.85218702865761,663
683,johann-tschopp,1982,175.0,43.79127725856698,642
684,marco-corti,1986,171.0,72.19027484143763,473
685,samuel-plouhinec,1976,175.0,65.94299674267101,614
686,loic-chetout,1992,178.0,80.51386623164764,613
688,oliver-naesen,1990,184.0,83.89242053789731,409
