_url,stage,race,date,points,length,profile,startlist_quality,year,season,avg_delta_by_url,avg_age_by_url
dauphine/2007/stage-2,stage-2,dauphine,2007-06-12,50,157000,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/stage-3,stage-3,dauphine,2007-06-13,50,40700,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/stage-4,stage-4,dauphine,2007-06-14,50,197000,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/stage-5,stage-5,dauphine,2007-06-15,50,195000,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/stage-6,stage-6,dauphine,2007-06-16,50,198000,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/stage-7,stage-7,dauphine,2007-06-17,50,129000,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/prologue,prologue,dauphine,2008-06-08,50,5600,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-2,stage-2,dauphine,2008-06-09,50,194000,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-3,stage-3,dauphine,2008-06-10,50,184000,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-4,stage-4,dauphine,2008-06-11,50,31000,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-5,stage-5,dauphine,2008-06-12,50,193000,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-6,stage-6,dauphine,2008-06-13,50,125000,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-7,stage-7,dauphine,2008-06-14,50,233000,,644,2008,Summer,1508.7878787878788,28.703030303030303
dauphine/2008/stage-8,stage-8,dauphine,2008-06-15,50,128000,,644,2008,Summer,1508.7878787878788,28.703030303030303
