_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year
dauphine/2014/stage-3,stage-3,dauphine,2014-06-10,50,194000,2668,2,941,2014
dauphine/2014/stage-4,stage-4,dauphine,2014-06-11,50,169500,2290,2,941,2014
dauphine/2014/stage-5,stage-5,dauphine,2014-06-12,50,184000,3479,2,941,2014
dauphine/2014/stage-6,stage-6,dauphine,2014-06-13,50,178500,1967,2,941,2014
dauphine/2014/stage-7,stage-7,dauphine,2014-06-14,50,160000,4130,5,941,2014
dauphine/2014/stage-8,stage-8,dauphine,2014-06-15,50,130500,3029,5,941,2014
dauphine/2015/stage-1,stage-1,dauphine,2015-06-07,50,132000,1519,2,997,2015
dauphine/2015/stage-2,stage-2,dauphine,2015-06-08,50,173000,2226,2,997,2015
dauphine/2015/stage-4,stage-4,dauphine,2015-06-10,50,228000,2369,2,997,2015
dauphine/2015/stage-5,stage-5,dauphine,2015-06-11,50,161000,4225,5,997,2015
dauphine/2015/stage-6,stage-6,dauphine,2015-06-12,50,183000,3562,5,997,2015
dauphine/2015/stage-7,stage-7,dauphine,2015-06-13,50,155000,4282,5,997,2015
dauphine/2015/stage-8,stage-8,dauphine,2015-06-14,50,156500,2979,5,997,2015
dauphine/2016/prologue,prologue,dauphine,2016-06-05,50,4000,348,5,1182,2016
dauphine/2016/stage-1,stage-1,dauphine,2016-06-06,50,186000,1878,2,1182,2016
dauphine/2016/stage-2,stage-2,dauphine,2016-06-07,50,168000,2890,3,1182,2016
dauphine/2016/stage-3,stage-3,dauphine,2016-06-08,50,187500,2386,2,1182,2016
dauphine/2016/stage-4,stage-4,dauphine,2016-06-09,50,176000,1479,3,1182,2016
dauphine/2016/stage-5,stage-5,dauphine,2016-06-10,50,140000,3369,5,1182,2016
dauphine/2016/stage-6,stage-6,dauphine,2016-06-11,50,141000,4528,5,1182,2016
dauphine/2016/stage-7,stage-7,dauphine,2016-06-12,50,151000,3794,3,1182,2016
dauphine/2017/stage-1,stage-1,dauphine,2017-06-04,50,170000,3011,2,1024,2017
dauphine/2017/stage-2,stage-2,dauphine,2017-06-05,50,171000,2544,2,1024,2017
dauphine/2017/stage-3,stage-3,dauphine,2017-06-06,50,184000,1990,2,1024,2017
dauphine/2017/stage-4,stage-4,dauphine,2017-06-07,50,23500,321,1,1024,2017
dauphine/2017/stage-5,stage-5,dauphine,2017-06-08,50,175000,2319,2,1024,2017
dauphine/2017/stage-6,stage-6,dauphine,2017-06-09,50,145500,2592,4,1024,2017
dauphine/2017/stage-7,stage-7,dauphine,2017-06-10,50,167500,4717,5,1024,2017
dauphine/2017/stage-8,stage-8,dauphine,2017-06-11,50,115000,4113,5,1024,2017
dauphine/2018/prologue,prologue,dauphine,2018-06-03,50,6600,30,1,762,2018
dauphine/2018/stage-1,stage-1,dauphine,2018-06-04,50,179000,2841,4,762,2018
dauphine/2018/stage-2,stage-2,dauphine,2018-06-05,50,181000,2336,4,762,2018
dauphine/2018/stage-4,stage-4,dauphine,2018-06-07,50,181000,3227,5,762,2018
dauphine/2018/stage-5,stage-5,dauphine,2018-06-08,50,130000,2635,5,762,2018
dauphine/2018/stage-6,stage-6,dauphine,2018-06-09,50,110000,4187,5,762,2018
dauphine/2018/stage-7,stage-7,dauphine,2018-06-10,50,136000,4222,5,762,2018
dauphine/2019/stage-1,stage-1,dauphine,2019-06-09,50,142000,2500,4,973,2019
dauphine/2019/stage-2,stage-2,dauphine,2019-06-10,50,180000,3127,2,973,2019
dauphine/2019/stage-3,stage-3,dauphine,2019-06-11,50,177000,1424,2,973,2019
dauphine/2019/stage-4,stage-4,dauphine,2019-06-12,50,26100,341,2,973,2019
dauphine/2019/stage-5,stage-5,dauphine,2019-06-13,50,201000,2098,2,973,2019
dauphine/2019/stage-6,stage-6,dauphine,2019-06-14,50,229000,3715,4,973,2019
dauphine/2019/stage-7,stage-7,dauphine,2019-06-15,50,133500,4343,5,973,2019
dauphine/2019/stage-8,stage-8,dauphine,2019-06-16,50,113500,2993,4,973,2019
dauphine/2020/stage-1,stage-1,dauphine,2020-08-12,50,218500,3575,5,1243,2020
dauphine/2020/stage-2,stage-2,dauphine,2020-08-13,50,135000,2878,5,1243,2020
dauphine/2020/stage-3,stage-3,dauphine,2020-08-14,50,157000,3472,5,1243,2020
dauphine/2020/stage-4,stage-4,dauphine,2020-08-15,50,148500,4669,5,1243,2020
dauphine/2020/stage-5,stage-5,dauphine,2020-08-16,50,142500,4391,5,1243,2020
dauphine/2021/stage-1,stage-1,dauphine,2021-05-30,50,181800,2308,2,790,2021
dauphine/2021/stage-2,stage-2,dauphine,2021-05-31,50,172800,3224,2,790,2021
dauphine/2021/stage-3,stage-3,dauphine,2021-06-01,50,172200,2096,3,790,2021
dauphine/2021/stage-4,stage-4,dauphine,2021-06-02,50,16400,317,3,790,2021
dauphine/2021/stage-5,stage-5,dauphine,2021-06-03,50,175400,2209,2,790,2021
dauphine/2021/stage-6,stage-6,dauphine,2021-06-04,50,167200,2706,3,790,2021
dauphine/2021/stage-7,stage-7,dauphine,2021-06-05,50,171100,4163,5,790,2021
