_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
harald-morscher,Harald  Morscher,1972.0,,Austria,83.56294536817101,421,,Europe
thomas-champion,Thomas  Champion,1999.0,193.0,France,114.80281690140845,213,18.792450804048432,Europe
enrico-franzoi,Enrico  Franzoi,1982.0,178.0,Italy,60.79365079365079,315,22.093170054286073,Europe
mateusz-mroz,Mateusz  Mróz,1980.0,,Poland,113.79032258064517,62,,Europe
manuel-cardoso,Manuel Antonio Leal  Cardoso,1983.0,179.0,Portugal,118.58928571428571,56,21.847008520333322,Europe
michele-rezzani,Michele  Rezzani,1975.0,,Italy,64.33969465648855,262,,Europe
andrea-dolci,Andrea  Dolci,1969.0,,Italy,55.85552407932011,353,,Europe
patrick-hosotte,Patrick  Hosotte,1957.0,,France,93.7094017094017,117,,Europe
sebastian-schwager,Sebastian  Schwager,1984.0,,Germany,77.8489425981873,331,,Europe
marco-fincato,Marco  Fincato,1970.0,,Italy,109.58064516129032,155,,Europe
mickael-delage,Mickaël  Delage,1985.0,180.0,France,81.07986688851913,601,21.604938271604937,Europe
andre-chappuis,André  Chappuis,1956.0,,France,84.23626373626374,546,,Europe
erich-spahn,Erich  Spahn,1948.0,,Switzerland,69.09565217391304,115,,Europe
wim-van-de-meulenhof,Wim van de Meulenhof,1966.0,,Netherlands,101.80177514792899,338,,Europe
alfons-scheys,Alfons  Scheys,1947.0,,Belgium,93.66745843230404,421,,Europe
bruno-cenghialta,Bruno  Cenghialta,1962.0,184.0,Italy,100.24050632911393,79,21.561909262759922,Europe
johan-bruyneel,Johan  Bruyneel,1964.0,182.0,Belgium,75.61507936507937,252,21.434609346697258,Europe
martin-prazdnovsky,Martin  Prázdnovský,1975.0,,Slovakia,62.563380281690144,71,,Europe
dorian-godon,Dorian  Godon,1996.0,191.0,France,101.48387096774194,186,20.010416381129904,Europe
syver-waersted,Syver  Wærsted,1996.0,193.0,Norway,127.1063829787234,47,21.369701200032214,Europe
antonio-bucciero,Antonio  Bucciero,1982.0,,Italy,92.53086419753086,81,,Europe
julien-stassen,Julien  Stassen,1988.0,182.0,Belgium,89.61813186813187,364,19.925129815239703,Europe
markus-hoelgaard,Markus  Hoelgaard,1994.0,188.0,Norway,83.22485207100591,169,20.937075599818925,Europe
enrique-martinez,Enrique  Martinez,1953.0,,Spain,95.09072978303747,507,,Europe
koen-vekemans,Koen  Vekemans,1966.0,,Belgium,94.90641711229947,374,,Europe
louis-pfenninger,Louis  Pfenninger,1944.0,183.0,Switzerland,107.448,125,20.902385858042937,Europe
mirko-selvaggi,Mirko  Selvaggi,1985.0,195.0,Italy,89.97619047619048,168,19.197896120973045,Europe
dag-selander,Dag  Selander,1955.0,,Norway,130.08333333333334,24,,Europe
gianluca-pierobon,Gianluca  Pierobon,1967.0,,Italy,98.66355140186916,535,,Europe
zico-waeytens,Zico  Waeytens,1991.0,180.0,Belgium,87.56395348837209,172,20.679012345679013,Europe
twan-castelijns,Twan  Castelijns,1989.0,180.0,Netherlands,95.42857142857143,196,21.604938271604937,Europe
roberto-savoldi,Roberto  Savoldi,1975.0,,Italy,94.920245398773,163,,Europe
andre-peirsman,André  Peirsman,1948.0,,Belgium,104.98651685393259,445,,Europe
anass-ait-el-abdia,Anass  Aït El Abdia,1993.0,180.0,Morocco,60.691489361702125,564,20.37037037037037,Africa
dino-bertolo,Dino  Bertolo,1953.0,,France,80.42348008385744,477,,Europe
mattia-gavazzi,Mattia  Gavazzi,1983.0,171.0,Italy,74.31088082901555,386,23.938989774631512,Europe
david-kopp,David  Kopp,1979.0,184.0,Germany,55.84592145015106,331,20.085066162570886,Europe
